Level: State
Unit:Per Capita (dollars), Real (2020$)
State,Year,(R63) Liquor Stores Revenue (A90),(E024) Total Educ-Direct Exp,(E025) Total Educ-Cur Oper,(E036) Educational Assistance (E19),(E087) Police Prot-Direct Exp,(E088) Police Prot-Cur Oper (E62),(E089) Police Prot-Cap Outlay,(E090) Public Welf-Direct Exp,(E091) Public Welf-Cur Oper,(E092) Public Welf-Cash Asst,(E106) Liquor Store and Utility Expend,(E107) Liquor Stores-Tot Exp,(E108) Liquor Stores-Cur Oper (E90),(E109) Liquor Stores-Cap Out
Alabama,1996.0,$             52,$            853,$            741,$             48,$             29,$             27,$              2,$            886,$            818,$             67,$             56,$             56,$             56,$              0
Alabama,1997.0,$             51,$            866,$            748,$             40,$             30,$             27,$              3,$            937,$            872,$             65,$             52,$             52,$             52,$              0
Alabama,1998.0,$             51,$            872,$            762,$             42,$             31,$             29,$              2,$           1091,$            892,$            199,$             53,$             53,$             52,$              0
Alabama,1999.0,$             51,$            916,$            800,$             44,$             31,$             29,$              2,$           1120,$            924,$            195,$             50,$             50,$             49,$              0
Alabama,2000.0,$             51,$            948,$            806,$             47,$             31,$             29,$              2,$           1176,$            978,$            198,$             51,$             51,$             51,$              0
Alabama,2001.0,$             51,$            982,$            842,$             50,$             31,$             29,$              2,$           1235,$           1028,$            207,$             51,$             51,$             51,$              0
Alabama,2002.0,$             52,$           1038,$            858,$             62,$             32,$             30,$              3,$           1320,$           1083,$            237,$             52,$             52,$             52,$              0
Alabama,2003.0,$             52,$           1100,$            913,$             61,$             33,$             30,$              2,$           1415,$           1163,$            252,$             54,$             54,$             54,$              0
Alabama,2004.0,$             52,$           1216,$            988,$             64,$             32,$             29,$              3,$           1381,$           1138,$            243,$             54,$             54,$             54,$              0
Alabama,2005.0,$             51,$           1157,$            902,$             64,$             33,$             31,$              3,$           1263,$           1236,$             27,$             53,$             53,$             52,$              1
Alabama,2006.0,$             62,$           1187,$            940,$             68,$             39,$             33,$              5,$           1232,$           1199,$             30,$             55,$             55,$             55,$              0
Alabama,2007.0,$             63,$           1311,$           1058,$             79,$             39,$             35,$              4,$           1258,$           1226,$             30,$             53,$             53,$             53,$              1
Alabama,2008.0,$             63,$           1346,$           1094,$             81,$             39,$             36,$              3,$           1152,$           1124,$             26,$             60,$             60,$             59,$              1
Alabama,2009.0,$             64,$           1398,$           1087,$             95,$             39,$             38,$              2,$           1366,$           1338,$             25,$             61,$             61,$             61,$              0
Alabama,2010.0,$             62,$           1369,$           1096,$            100,$             38,$             37,$              2,$           1477,$           1440,$             35,$             60,$             60,$             60,$              0
Alabama,2011.0,$             64,$           1379,$           1108,$            107,$             37,$             36,$              2,$           1402,$           1367,$             29,$             58,$             58,$             58,$              0
Alabama,2012.0,$             62,$           1520,$           1244,$            103,$             27,$             24,$              3,$           1792,$           1430,$            356,$             58,$             58,$             58,$              0
Alabama,2013.0,$             64,$           1604,$           1271,$            116,$             26,$             23,$              3,$           1758,$           1407,$            350,$             60,$             60,$             60,$              0
Alabama,2014.0,$             65,$           1528,$           1278,$            123,$             26,$             23,$              3,$           1750,$           1427,$            322,$             60,$             60,$             60,$              0
Alabama,2015.0,$             69,$           1602,$           1324,$            135,$             34,$             31,$              3,$           1802,$           1478,$            322,$             64,$             64,$             64,$              0
Alabama,2016.0,$             71,$           1291,$           1025,$            148,$             36,$             34,$              2,$           1828,$           1527,$            300,$             70,$             70,$             70,$              0
Alabama,2017.0,$             72,$           1311,$           1018,$            160,$             30,$             27,$              3,$           1471,$           1446,$             24,$             70,$             70,$             70,$              0
Alabama,2018.0,$             73,$           1380,$           1045,$            169,$             34,$             32,$              2,$           1384,$           1358,$             25,$             71,$             71,$             71,$              0
Alabama,2019.0,$             77,$           1396,$           1057,$            175,$             36,$             34,$              3,$           1440,$           1410,$             27,$             71,$             71,$             71,$              0
Alabama,2020.0,$             84,$           1382,$           1024,$            189,$             38,$             35,$              3,$           1545,$           1516,$             26,$             79,$             79,$             79,$              0
Florida,1977.0,$              0,$            297,$            244,$             13,$             31,$             29,$              2,$            212,$            147,$             65,$              4,$              0,$              0,$              0
Florida,1978.0,$              0,$            292,$            239,$             13,$             28,$             26,$              2,$            209,$            145,$             65,$              4,$              0,$              0,$              0
Florida,1979.0,$              0,$            278,$            231,$              9,$             29,$             27,$              2,$            234,$            177,$             56,$              4,$              0,$              0,$              0
Florida,1980.0,$              0,$            256,$            217,$              9,$             27,$             25,$              2,$            225,$            165,$             60,$              6,$              0,$              0,$              0
Florida,1981.0,$              0,$            268,$            230,$             10,$             27,$             24,$              2,$            249,$            190,$             59,$              5,$              0,$              0,$              0
Florida,1982.0,$              0,$            283,$            233,$             14,$             29,$             27,$              2,$            291,$            225,$             66,$              5,$              0,$              0,$              0
Florida,1983.0,$              0,$            251,$            220,$             14,$             26,$             24,$              2,$            276,$            218,$             58,$              6,$              0,$              0,$              0
Florida,1984.0,$              0,$            304,$            224,$             21,$             26,$             24,$              2,$            288,$            225,$             62,$              4,$              0,$              0,$              0
Florida,1985.0,$              0,$            350,$            253,$             24,$             30,$             21,$              9,$            327,$            290,$             37,$              3,$              0,$              0,$              0
Florida,1986.0,$              0,$            313,$            262,$             29,$             32,$             23,$              9,$            340,$            280,$             60,$              4,$              0,$              0,$              0
Florida,1987.0,$              0,$            287,$            228,$             24,$             38,$             25,$             12,$            362,$            296,$             65,$              4,$              0,$              0,$              0
Florida,1988.0,$              0,$            321,$            278,$             21,$             36,$             28,$              9,$            403,$            330,$             72,$              4,$              0,$              0,$              0
Florida,1989.0,$              0,$            354,$            282,$             25,$             33,$             24,$              9,$            458,$            375,$             82,$              5,$              0,$              0,$              0
Florida,1990.0,$              0,$            375,$            300,$             32,$             28,$             26,$              3,$            536,$            448,$             88,$              3,$              0,$              0,$              0
Florida,1991.0,$              0,$            385,$            327,$             30,$             34,$             32,$              2,$            648,$            549,$             98,$              3,$              0,$              0,$              0
Florida,1992.0,$              0,$            356,$            271,$             30,$             30,$             29,$              2,$            713,$            599,$            113,$              4,$              0,$              0,$              0
Florida,1993.0,$              0,$            337,$            258,$             28,$             25,$             24,$              1,$            763,$            622,$            141,$              4,$              0,$              0,$              0
Florida,1994.0,$              0,$            352,$            266,$             29,$             27,$             25,$              2,$            699,$            661,$             37,$              5,$              0,$              0,$              0
Florida,1995.0,$              0,$            353,$            265,$             32,$             33,$             31,$              2,$            799,$            706,$             93,$              4,$              0,$              0,$              0
Florida,1996.0,$              0,$            342,$            265,$             37,$             32,$             30,$              2,$            789,$            708,$             80,$              7,$              0,$              0,$              0
Florida,1997.0,$              0,$            337,$            255,$             42,$             34,$             31,$              2,$            808,$            745,$             62,$              9,$              0,$              0,$              0
Florida,1998.0,$              0,$            354,$            262,$             42,$             34,$             32,$              3,$            837,$            792,$             44,$              7,$              0,$              0,$              0
Florida,1999.0,$              0,$            370,$            280,$             46,$             34,$             31,$              2,$            838,$            795,$             41,$              5,$              0,$              0,$              0
Florida,2000.0,$              0,$            389,$            298,$             51,$             34,$             32,$              2,$            849,$            821,$             26,$              5,$              0,$              0,$              0
Florida,2001.0,$              0,$            424,$            311,$             61,$             35,$             33,$              2,$            973,$            908,$             63,$              4,$              0,$              0,$              0
Florida,2002.0,$              0,$            440,$            326,$             68,$             37,$             34,$              2,$           1024,$            993,$             29,$              7,$              0,$              0,$              0
Florida,2003.0,$              0,$            464,$            342,$             69,$             34,$             31,$              3,$           1108,$           1080,$             27,$              5,$              0,$              0,$              0
Florida,2004.0,$              0,$            452,$            314,$             85,$             32,$             30,$              2,$           1213,$           1165,$             46,$              5,$              0,$              0,$              0
Florida,2005.0,$              0,$            469,$            321,$            100,$             35,$             34,$              2,$           1237,$           1191,$             46,$              5,$              0,$              0,$              0
Florida,2006.0,$              0,$            487,$            342,$            100,$             33,$             31,$              2,$           1197,$           1173,$             23,$              6,$              0,$              0,$              0
Florida,2007.0,$              0,$            509,$            355,$            109,$             31,$             29,$              2,$           1175,$           1155,$             19,$              7,$              0,$              0,$              0
Florida,2008.0,$              0,$            514,$            352,$            115,$             29,$             28,$              1,$           1170,$           1152,$             16,$              6,$              0,$              0,$              0
Florida,2009.0,$              0,$            534,$            370,$            116,$             27,$             26,$              1,$           1197,$           1182,$             14,$              7,$              0,$              0,$              0
Florida,2010.0,$              0,$            553,$            381,$            113,$             28,$             26,$              2,$           1310,$           1298,$              9,$              6,$              0,$              0,$              0
Florida,2011.0,$              0,$            561,$            390,$            114,$             27,$             25,$              2,$           1341,$           1330,$             10,$              8,$              0,$              0,$              0
Florida,2012.0,$              0,$            569,$            421,$            102,$             31,$             28,$              3,$           1263,$           1251,$             11,$              9,$              0,$              0,$              0
Florida,2013.0,$              0,$            569,$            427,$            101,$             29,$             27,$              2,$           1283,$           1272,$             11,$              8,$              0,$              0,$              0
Florida,2014.0,$              0,$            526,$            432,$             63,$             30,$             29,$              1,$           1338,$           1326,$             11,$             11,$              0,$              0,$              0
Florida,2015.0,$              0,$            539,$            446,$             66,$             30,$             29,$              1,$           1397,$           1385,$             11,$             11,$              0,$              0,$              0
Florida,2016.0,$              0,$            587,$            477,$             83,$             31,$             29,$              2,$           1331,$           1320,$             11,$             14,$              0,$              0,$              0
Florida,2017.0,$              0,$            572,$            461,$             83,$             31,$             29,$              1,$           1365,$           1355,$             10,$             17,$              0,$              0,$              0
Florida,2018.0,$              0,$            604,$            466,$            107,$             31,$             30,$              1,$           1356,$           1348,$              8,$             14,$              0,$              0,$              0
Florida,2019.0,$              0,$            638,$            476,$            123,$             31,$             30,$              1,$           1312,$           1304,$              7,$             14,$              0,$              0,$              0
Florida,2020.0,$              0,$            662,$            492,$            138,$             30,$             29,$              1,$           1362,$           1353,$              6,$             11,$              0,$              0,$              0
Georgia,1977.0,$              0,$            465,$            395,$             14,$             22,$             21,$              0,$            416,$            333,$             84,$              0,$              0,$              0,$              0
Georgia,1978.0,$              0,$            468,$            391,$             18,$             26,$             21,$              4,$            419,$            342,$             77,$              0,$              0,$              0,$              0
Georgia,1979.0,$              0,$            472,$            386,$             16,$             23,$             22,$              1,$            395,$            327,$             68,$              0,$              0,$              0,$              0
Georgia,1980.0,$              0,$            406,$            351,$             14,$             22,$             21,$              1,$            398,$            327,$             71,$              0,$              0,$              0,$              0
Georgia,1981.0,$              0,$            410,$            364,$             12,$             21,$             20,$              1,$            450,$            373,$             77,$              0,$              0,$              0,$              0
Georgia,1982.0,$              0,$            416,$            384,$             11,$             22,$             21,$              0,$            432,$            352,$             81,$              0,$              0,$              0,$              0
Georgia,1983.0,$              0,$            432,$            385,$             15,$             26,$             22,$              4,$            457,$            373,$             84,$              0,$              0,$              0,$              0
Georgia,1984.0,$              0,$            490,$            423,$             24,$             26,$             22,$              4,$            436,$            353,$             84,$              0,$              0,$              0,$              0
Georgia,1985.0,$              0,$            515,$            457,$             14,$             27,$             23,$              4,$            410,$            332,$             78,$              0,$              0,$              0,$              0
Georgia,1986.0,$              0,$            547,$            477,$             14,$             28,$             25,$              3,$            445,$            363,$             82,$              0,$              0,$              0,$              0
Georgia,1987.0,$              0,$            492,$            433,$             13,$             31,$             26,$              5,$            525,$            437,$             88,$              0,$              0,$              0,$              0
Georgia,1988.0,$              0,$            483,$            410,$             16,$             34,$             28,$              6,$            562,$            466,$             95,$              0,$              0,$              0,$              0
Georgia,1989.0,$              0,$            515,$            430,$             15,$             34,$             29,$              5,$            602,$            506,$             97,$              0,$              0,$              0,$              0
Georgia,1990.0,$              0,$            573,$            451,$             16,$             31,$             28,$              3,$            646,$            548,$             98,$              0,$              0,$              0,$              0
Georgia,1991.0,$              0,$            534,$            464,$             14,$             31,$             28,$              3,$            763,$            657,$            106,$              0,$              0,$              0,$              0
Georgia,1992.0,$              0,$            505,$            441,$             11,$             27,$             24,$              2,$            897,$            781,$            116,$              0,$              0,$              0,$              0
Georgia,1993.0,$              0,$            526,$            464,$             17,$             27,$             25,$              2,$            946,$            831,$            114,$              0,$              0,$              0,$              0
Georgia,1994.0,$              0,$            599,$            491,$             29,$             28,$             26,$              2,$           1020,$            911,$            109,$              0,$              0,$              0,$              0
Georgia,1995.0,$              0,$            697,$            506,$             51,$             31,$             28,$              3,$           1063,$            963,$            100,$              0,$              0,$              0,$              0
Georgia,1996.0,$              0,$            724,$            505,$            111,$             33,$             30,$              3,$           1017,$            927,$             89,$              0,$              0,$              0,$              0
Georgia,1997.0,$              0,$            727,$            532,$             79,$             35,$             29,$              6,$           1119,$           1039,$             81,$              0,$              0,$              0,$              0
Georgia,1998.0,$              0,$            728,$            531,$             88,$             30,$             27,$              2,$            947,$            896,$             51,$              0,$              0,$              0,$              0
Georgia,1999.0,$              0,$            773,$            590,$             79,$             32,$             30,$              2,$            933,$            893,$             40,$              0,$              0,$              0,$              0
Georgia,2000.0,$              0,$            762,$            559,$             97,$             35,$             32,$              3,$            999,$            956,$             43,$              0,$              0,$              0,$              0
Georgia,2001.0,$              0,$            834,$            616,$            116,$             44,$             41,$              4,$           1012,$            980,$             32,$              0,$              0,$              0,$              0
Georgia,2002.0,$              0,$            847,$            645,$            103,$             43,$             38,$              5,$           1237,$           1201,$             35,$              0,$              0,$              0,$              0
Georgia,2003.0,$              0,$            874,$            664,$             98,$             40,$             36,$              4,$           1228,$           1179,$             49,$              0,$              0,$              0,$              0
Georgia,2004.0,$              0,$            901,$            646,$            114,$             36,$             34,$              2,$           1317,$           1292,$             24,$              6,$              0,$              0,$              0
Georgia,2005.0,$              0,$            848,$            641,$            107,$             32,$             31,$              1,$           1288,$           1268,$             20,$              5,$              0,$              0,$              0
Georgia,2006.0,$              0,$            822,$            647,$             98,$             32,$             30,$              2,$           1171,$           1147,$             24,$              6,$              0,$              0,$              0
Georgia,2007.0,$              0,$            836,$            656,$            101,$             33,$             32,$              1,$           1229,$           1219,$             10,$              6,$              0,$              0,$              0
Georgia,2008.0,$              0,$            886,$            676,$             98,$             40,$             38,$              2,$           1156,$           1146,$             11,$              4,$              0,$              0,$              0
Georgia,2009.0,$              0,$            901,$            684,$            108,$             33,$             31,$              1,$           1185,$           1173,$             11,$              5,$              0,$              0,$              0
Georgia,2010.0,$              0,$            907,$            686,$            123,$             35,$             34,$              2,$           1158,$           1143,$             14,$              5,$              0,$              0,$              0
Georgia,2011.0,$              0,$            989,$            725,$            135,$             33,$             31,$              3,$           1163,$           1144,$             19,$              5,$              0,$              0,$              0
Georgia,2012.0,$              0,$           1035,$            826,$            105,$             34,$             30,$              3,$           1124,$           1114,$             10,$              5,$              0,$              0,$              0
Georgia,2013.0,$              0,$            988,$            790,$            101,$             32,$             30,$              3,$           1186,$           1176,$             10,$              4,$              0,$              0,$              0
Georgia,2014.0,$              0,$            935,$            738,$            101,$             31,$             29,$              2,$           1197,$           1188,$              9,$              3,$              0,$              0,$              0
Georgia,2015.0,$              0,$            784,$            594,$            107,$             36,$             32,$              3,$           1235,$           1225,$             10,$              4,$              0,$              0,$              0
Georgia,2016.0,$              0,$            816,$            616,$            113,$             37,$             34,$              3,$           1214,$           1202,$             11,$              4,$              0,$              0,$              0
Georgia,2017.0,$              0,$            830,$            625,$            116,$             42,$             38,$              5,$           1219,$           1207,$             11,$              7,$              0,$              0,$              0
Georgia,2018.0,$              0,$            856,$            634,$            121,$             41,$             39,$              2,$           1231,$           1220,$             11,$              4,$              0,$              0,$              0
Georgia,2019.0,$              0,$            868,$            636,$            126,$             43,$             39,$              4,$           1248,$           1238,$              9,$              3,$              0,$              0,$              0
Georgia,2020.0,$              0,$            863,$            650,$            139,$             43,$             38,$              5,$           1274,$           1266,$              8,$              3,$              0,$              0,$              0
Hawaii,1977.0,$              0,$           2227,$           1882,$             20,$              2,$              2,$              0,$            881,$            427,$            453,$              0,$              0,$              0,$              0
Hawaii,1978.0,$              0,$           2071,$           1847,$              8,$              1,$              1,$              0,$            894,$            436,$            458,$              0,$              0,$              0,$              0
Hawaii,1979.0,$              0,$           1881,$           1666,$              8,$              1,$              1,$              0,$            821,$            419,$            402,$              0,$              0,$              0,$              0
Hawaii,1980.0,$              0,$           1815,$           1562,$              8,$              2,$              1,$              0,$            745,$            395,$            350,$              0,$              0,$              0,$              0
Hawaii,1981.0,$              0,$           1752,$           1579,$              7,$              1,$              1,$              0,$            789,$            441,$            347,$              0,$              0,$              0,$              0
Hawaii,1982.0,$              0,$           1738,$           1600,$              7,$              2,$              2,$              0,$            772,$            450,$            312,$              0,$              0,$              0,$              0
Hawaii,1983.0,$              0,$           1820,$           1666,$              6,$              3,$              3,$              0,$            730,$            451,$            278,$              0,$              0,$              0,$              0
Hawaii,1984.0,$              0,$           1715,$           1569,$              6,$              4,$              4,$              0,$            694,$            442,$            252,$              0,$              0,$              0,$              0
Hawaii,1985.0,$              0,$           1689,$           1556,$              6,$              4,$              4,$              0,$            656,$            424,$            231,$              0,$              0,$              0,$              0
Hawaii,1986.0,$              0,$           1809,$           1617,$              6,$              4,$              4,$              0,$            624,$            406,$            217,$              0,$              0,$              0,$              0
Hawaii,1987.0,$              0,$           1751,$           1526,$              5,$              4,$              4,$              0,$            648,$            452,$            194,$              0,$              0,$              0,$              0
Hawaii,1988.0,$              0,$           1788,$           1547,$              5,$              4,$              4,$              0,$            639,$            437,$            196,$              0,$              0,$              0,$              0
Hawaii,1989.0,$              0,$           1884,$           1645,$              6,$              5,$              5,$              0,$            670,$            468,$            196,$              0,$              0,$              0,$              0
Hawaii,1990.0,$              0,$           1980,$           1734,$              6,$              7,$              5,$              1,$            749,$            539,$            201,$              0,$              0,$              0,$              0
Hawaii,1991.0,$              0,$           2121,$           1803,$              7,$              6,$              4,$              2,$            782,$            604,$            169,$              0,$              0,$              0,$              0
Hawaii,1992.0,$              0,$           2140,$           1863,$              7,$              6,$              5,$              1,$            935,$            699,$            231,$              0,$              0,$              0,$              0
Hawaii,1993.0,$              0,$           2209,$           1924,$              7,$             12,$              8,$              4,$            978,$            705,$            261,$              0,$              0,$              0,$              0
Hawaii,1994.0,$              0,$           2200,$           1892,$              7,$              9,$              9,$              0,$           1038,$            740,$            294,$              0,$              0,$              0,$              0
Hawaii,1995.0,$              0,$           2335,$           1946,$              8,$             22,$             10,$             13,$           1251,$            936,$            311,$              1,$              0,$              0,$              0
Hawaii,1996.0,$              0,$           2122,$           1798,$              7,$              7,$              6,$              0,$           1237,$            938,$            295,$              0,$              0,$              0,$              0
Hawaii,1997.0,$              0,$           2072,$           1765,$              6,$              4,$              3,$              0,$           1292,$           1029,$            261,$              0,$              0,$              0,$              0
Hawaii,1998.0,$              0,$           2138,$           1845,$              6,$              6,$              6,$              0,$           1186,$            939,$            244,$              0,$              0,$              0,$              0
Hawaii,1999.0,$              0,$           2282,$           1963,$              6,$              6,$              6,$              0,$           1199,$            970,$            230,$              0,$              0,$              0,$              0
Hawaii,2000.0,$              0,$           2296,$           1986,$              5,$              5,$              5,$              0,$           1261,$           1045,$            211,$              0,$              0,$              0,$              0
Hawaii,2001.0,$              0,$           2613,$           2292,$              5,$              6,$              6,$              0,$           1220,$           1034,$            182,$              0,$              0,$              0,$              0
Hawaii,2002.0,$              0,$           2620,$           2388,$             11,$              7,$              6,$              1,$           1290,$           1132,$            153,$              0,$              0,$              0,$              0
Hawaii,2003.0,$              0,$           2621,$           2424,$              9,$              8,$              8,$              0,$           1366,$           1238,$            125,$              0,$              0,$              0,$              0
Hawaii,2004.0,$              0,$           2676,$           2560,$             30,$             11,$             11,$              0,$           1448,$           1343,$            103,$              0,$              0,$              0,$              0
Hawaii,2005.0,$              0,$           2715,$           2510,$             27,$             11,$             11,$              0,$           1450,$           1361,$             87,$              0,$              0,$              0,$              0
Hawaii,2006.0,$              0,$           2855,$           2590,$             25,$             11,$             11,$              0,$           1395,$           1319,$             74,$              0,$              0,$              0,$              0
Hawaii,2007.0,$              0,$           3074,$           2765,$             28,$             13,$             12,$              1,$           1417,$           1343,$             66,$              0,$              0,$              0,$              0
Hawaii,2008.0,$              0,$           3168,$           2862,$             33,$             11,$             10,$              1,$           1446,$           1361,$             79,$              1,$              0,$              0,$              0
Hawaii,2009.0,$              0,$           3186,$           2867,$             37,$             24,$             23,$              1,$           1551,$           1462,$             75,$              2,$              0,$              0,$              0
Hawaii,2010.0,$              0,$           2830,$           2456,$             42,$             28,$             26,$              2,$           1704,$           1639,$             64,$              3,$              0,$              0,$              0
Hawaii,2011.0,$              0,$           2779,$           2366,$             68,$             26,$             25,$              1,$           1733,$           1697,$             36,$              4,$              0,$              0,$              0
Hawaii,2012.0,$              0,$           2796,$           2237,$             73,$             22,$             21,$              0,$           1615,$           1605,$              3,$              0,$              0,$              0,$              0
Hawaii,2013.0,$              0,$           2646,$           2187,$             76,$             24,$             22,$              1,$           1650,$           1642,$              3,$              0,$              0,$              0,$              0
Hawaii,2014.0,$              0,$           2579,$           2192,$             80,$             27,$             26,$              1,$           2029,$           2021,$              3,$              0,$              0,$              0,$              0
Hawaii,2015.0,$              0,$           2400,$           2080,$             80,$             28,$             26,$              2,$           1930,$           1920,$              2,$              0,$              0,$              0,$              0
Hawaii,2016.0,$              0,$           2509,$           2138,$            101,$             28,$             27,$              1,$           2031,$           2010,$              2,$              0,$              0,$              0,$              0
Hawaii,2017.0,$              0,$           2469,$           2114,$             83,$             32,$             31,$              1,$           2161,$           2146,$              3,$              0,$              0,$              0,$              0
Hawaii,2018.0,$              0,$           2582,$           2153,$             80,$             32,$             30,$              1,$           2051,$           2047,$              3,$              0,$              0,$              0,$              0
Hawaii,2019.0,$              0,$           2761,$           2209,$             80,$             33,$             32,$              1,$           1993,$           1987,$              2,$              0,$              0,$              0,$              0
Hawaii,2020.0,$              0,$           2561,$           2207,$             81,$             37,$             35,$              2,$           2059,$           2052,$              4,$              0,$              0,$              0,$              0
Idaho,1977.0,$            147,$            585,$            491,$             18,$             29,$             27,$              2,$            364,$            249,$            114,$            108,$            108,$            108,$              0
